price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type,price_crore
56000000,ready to move,1535,36506,3 bhk apartment in mahindra luminare,sector 59,seller,FALSE,3,mah,mah,apartment,0.056
84600000,under construction,2586,32714,4 bhk apartment in anant raj the estate residences,sector 63a,seller,TRUE,4,anant raj the estate residences,anant,apartment,0.0846
65200000,ready to move,2329,28000,3 bhk apartment in dlf park place,sector 54,seller,FALSE,3,dlf park place,dlf,apartment,0.0652
74900000,ready to move,2677,28000,4 bhk apartment in dlf park place,sector 54,seller,FALSE,4,dlf park place,dlf,apartment,0.0749
66800000,under construction,2042,32713,4 bhk apartment in anant raj the estate residences,sector 63a,seller,TRUE,4,anant raj the estate residences,anant,apartment,0.0668
64300000,under construction,2250,28624,3 bhk apartment in birla navya avik phase 1,sector 63a,seller,TRUE,3,birla navya avik phase 1,birla,apartment,0.0643
20000000,resale,900,22222,residential plot,sector 52,home,FALSE,0,outside socity,outside,plot,0.02
52500000,resale,3312,15851,residential plot in reputed builder plot sector 39,sector 39,property in gurgaon,FALSE,39,reputed builder plot sector 39,reputed,plot,0.0525
8500000,ready to move,1079,7877,2 bhk apartment in bptp spacio,sector 37d,properties for sale in gurgaon,FALSE,2,bptp spacio,bptp,apartment,0.0085
7500000,ready to move,815,9202,2 bhk apartment in suncity avenue 102,sector 102,seller,FALSE,2,suncity avenue 102,suncity,apartment,0.0075
4500000,ready to move,920,4891,3 bhk apartment,sector 3a,home,FALSE,3,outside socity,outside,plot,0.0045
4500000,ready to move,920,4891,3 bhk apartment,sector 3a,property in gurgaon,FALSE,3,outside socity,outside,plot,0.0045
4500000,ready to move,2000,2250,3 bhk apartment,sector 3a,properties for sale in gurgaon,FALSE,3,outside socity,outside,plot,0.0045
5600000,ready to move,1100,5090,3 bhk independent floor,sector 69,seller,FALSE,3,outside socity,outside,plot,0.0056
4500000,ready to move,2000,2250,3 bhk apartment,sector 3a,seller,FALSE,3,outside socity,outside,plot,0.0045
9231000,under construction,1211,7623,2 bhk apartment in signature global city 79 b,sector 79,superb solution providers pvt ltd,TRUE,2,signature global city 79 b,signature,apartment,0.009231
13900000,under construction,2408,5784,3 bhk apartment in signature global city 79 b,sector 79,superb solution providers pvt ltd,TRUE,3,signature global city 79 b,signature,apartment,0.0139
12100000,under construction,2035,5978,3 bhk apartment in signature global city 79 b,sector 79,superb solution providers pvt ltd,TRUE,3,signature global city 79 b,signature,apartment,0.0121
11400000,under construction,1556,7372,3 bhk apartment in signature global city 79 b,sector 79,home,TRUE,3,signature global city 79 b,signature,apartment,0.0114
9786000,under construction,1566,6249,2 bhk apartment in signature global city 79 b,sector 79,property in gurgaon,TRUE,2,signature global city 79 b,signature,apartment,0.009786
13100000,under construction,1831,7170,3 bhk apartment in signature global city 79 b,sector 79,properties for sale in gurgaon,TRUE,3,signature global city 79 b,signature,apartment,0.0131
80100000,under construction,3956,20252,4 bhk apartment in dlf the arbour,sector 63,sharma realtors solution,TRUE,4,dlf the arbour,dlf,apartment,0.0801
79900000,under construction,3950,20253,4 bhk apartment in dlf the arbour,sector 63,sharma realtors solution,TRUE,4,dlf the arbour,dlf,apartment,0.0799
76900000,under construction,3800,20253,4 bhk apartment in dlf the arbour,sector 63,sharma realtors solution,TRUE,4,dlf the arbour,dlf,apartment,0.0769
76900000,under construction,3800,20253,4 bhk apartment in dlf the arbour,sector 63,sm realty,TRUE,4,dlf the arbour,dlf,apartment,0.0769
17500000,ready to move,1405,12500,2 bhk apartment in godrej air phase i,sector 85,sm realty,FALSE,2,godrej air phase i,godrej,apartment,0.0175
19500000,ready to move,1930,10103,3 bhk apartment in dlf the skycourt,sector 86,sm realty,FALSE,3,dlf the skycourt,dlf,apartment,0.0195
15900000,ready to move,1890,8412,3 bhk apartment in ss the coralwood,sector 84,sm realty,FALSE,3,ss the coralwood,ss,apartment,0.0159
16500000,ready to move,1890,8730,3 bhk apartment in ss the coralwood,sector 84,impex estates india private limited,FALSE,3,ss the coralwood,ss,apartment,0.0165
25000000,ready to move,2475,10101,4 bhk apartment in bestech park view sanskruti,sector 92,impex estates india private limited,FALSE,4,bestech park view sanskruti,bestech,apartment,0.025
39500000,under construction,3051,12946,3 bhk apartment in ganga nandaka,sector 84,impex estates india private limited,TRUE,3,ganga nandaka,ganga,apartment,0.0395
12700000,under construction,1075,11813,2 bhk apartment in signature global city 81 phase 2,sector 81,impex estates india private limited,TRUE,2,signature global city 81 phase 2,signature,apartment,0.0127
14000000,under construction,1190,11813,3 bhk apartment in signature global city 81 phase 2,sector 81,impex estates india private limited,TRUE,3,signature global city 81 phase 2,signature,apartment,0.014
19500000,ready to move,3800,5131,3 bhk apartment in central park flower valley,sector 33 sohna,impex estates india private limited,FALSE,3,central park flower valley,central,apartment,0.0195
6000000,ready to move,900,6666,3 bhk apartment in gls avenue 51,sector 92,corvous india infratech pvt ltd,FALSE,3,gls avenue 51,gls,apartment,0.006
